File,LOC,SLOC-P,SLOC-L,MVG,BLOC,C&SLOC,CLOC,CWORD,HCLOC,HCWORD
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\comms\BaseMessaging.java,30,9,8,0,8,0,13,85,4,6
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\threads\BaseThread.java,26,10,7,0,4,0,12,58,0,0
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\ui\MainUIMidlet.java,217,86,81,0,36,0,95,390,0,0
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\ui\controller\AbstractController.java,158,65,49,7,22,0,71,308,8,19
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\ui\controller\AlbumController.java,294,219,189,32,25,3,50,246,8,19
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\ui\controller\BaseController.java,117,55,41,13,21,0,41,245,4,8
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\ui\controller\ControllerInterface.java,39,6,5,0,7,0,26,122,8,19
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\ui\controller\MediaController.java,543,336,278,49,60,0,147,565,8,19
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\ui\controller\MediaListController.java,230,111,87,21,34,1,85,285,8,19
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\ui\controller\MusicPlayController.java,121,90,76,12,14,0,17,85,2,8
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\ui\controller\PhotoViewController.java,185,107,87,16,25,0,53,204,9,25
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\ui\controller\PlayVideoController.java,118,90,76,12,12,0,16,79,1,2
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\ui\controller\ScreenSingleton.java,84,32,23,5,15,0,37,158,8,19
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\ui\controller\SelectMediaController.java,127,68,49,12,28,0,31,113,2,21
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\ui\controller\VideoCaptureController.java,66,56,49,5,7,0,3,18,1,2
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\ui\datamodel\AlbumData.java,223,85,61,9,28,0,110,419,3,7
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\ui\datamodel\ImageAlbumData.java,37,17,14,1,9,1,11,64,2,8
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\ui\datamodel\ImageMediaAccessor.java,109,62,42,4,17,0,30,134,2,8
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\ui\datamodel\MediaAccessor.java,510,291,225,21,69,7,150,672,4,8
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\ui\datamodel\MediaData.java,180,67,49,7,25,3,88,297,4,8
C:\Users\soo\Downloads\SPL2go\Mobile_Media\MobileMedia08\src\lancs\mobilemedia\core\ui\datamodel\MusicAlbumData.java,36,18,15,1,6,0,12,51,2,8
